# AI and Digital Reporting Regulatory Timeline
# Author: Dr Yuqian Zhang, 2026-07-10
# Sources: European Commission; SEC; IASB; PCAOB; FRC
date,event,jurisdiction,category
2021-04-21,EU Commission proposes AI Act,EU,AI regulation
2024-03-13,EU Parliament adopts AI Act,EU,AI regulation
2024-05-21,EU Council approves AI Act,EU,AI regulation
2024-08-01,EU AI Act enters into force,EU,AI regulation
2025-02-02,EU AI Act: Prohibited AI practices provisions apply,EU,AI regulation
2025-08-02,EU AI Act: GPAI model rules apply,EU,AI regulation
2026-08-02,EU AI Act: High-risk AI system obligations apply,EU,AI regulation
2027-08-02,EU AI Act: High-risk AI (Annex III) obligations apply,EU,AI regulation
2030-08-02,EU AI Act: Full implementation deadline,EU,AI regulation
2024-07-01,SEC climate disclosure rules adopted (stay pending litigation),US,Corporate disclosure
2024-10-01,SEC Chair Gensler: AI/genAI likely transformational for capital markets,US,Corporate disclosure
2025-12-04,SEC Investor Advisory Committee recommends AI disclosure guidelines,US,Corporate disclosure
2023-06-01,IASB publishes project on digital financial reporting,Global,Accounting standards
2024-09-01,PCAOB highlights AI in audit inspections,US,Audit regulation
2025-06-27,FRC (UK) questions rising use of AI by auditors,UK,Audit regulation
