# AI adoption data for NZ tourism and hospitality sector,"# Sources: AI Forum NZ (2025), MBIE AI Strategy (2025), industry reports, case studies",# Verified against primary sources as of 10 July 2026
indicator,value,unit,year,source
NZ organisations using some form of AI,82,%,2025,AI Forum NZ/Kinetics (2025)
Large NZ businesses using AI,67,%,2024,"Datacom, cited in MBIE AI Strategy (2025)"
NZ SMEs with no plans to adopt AI,68,%,2024,NZIER/Spark (2024)
AI-using NZ businesses reporting efficiency gains,91,%,2025,AI Forum NZ (2025)
AI-using NZ businesses reporting cost savings,77,%,2025,AI Forum NZ (2025)
NZ organisations that scaled AI across operations,12,%,2025,AI Forum NZ (2025)
Non-users citing lack of expertise as main barrier,43,%,2024,"Datacom, cited in MBIE (2025)"
NZ workers who can clearly explain what AI is,34,%,2024,"Verian, cited in MBIE (2025)"
TNZ GuideGeek AI unique users,200000,users,2025,Tourism NZ/GuideGeek press release (2025)
Air NZ AI use cases identified,200,use cases,2024,Reseller NZ (Apr 2024)
Air NZ AI proofs of concept completed,37,POCs,2024,Reseller NZ (Apr 2024)
Air NZ AI POCs going to production,25,POCs,2024,Reseller NZ (Apr 2024)
Sudima Hotels productivity uplift from AI/robots,15,%,2024,ChannelLife/NZ Herald (2024)
Sudima Hotels AI chatbot daily coverage,90,% of orders,2024,HRD NZ (2024)
Sudima Hotels AI wage savings,90000,NZD p.a.,2024,HRD NZ (2024)
GenAI potential NZ economic impact by 2038,76000,NZD million,2025,MBIE AI Strategy (2025)
AI skills salary uplift in NZ,41,%,2025,Robert Half NZ/OpenClaws (2025)
