# Cybersecurity Regulatory and Major Event Timeline, 2018-2026
# Author: Dr Yuqian Zhang, 2026-07-10
# Sources: SEC; European Commission; OECD; Wilson Sonsini (2025); Gibson Dunn (2025)
date,event,jurisdiction,category
2018-05-25,GDPR enters into force (first major breach notification mandate),EU,Data protection
2018-02-21,SEC interpretive guidance on cybersecurity disclosure,US,Securities regulation
2020-01-01,California Consumer Privacy Act (CCPA) effective,US (California),Data protection
2022-03-09,SEC proposes cybersecurity disclosure rules,US,Securities regulation
2022-03-15,Cyber Incident Reporting for Critical Infrastructure Act (CIRCIA) signed,US,Critical infrastructure
2022-12-14,NIS2 Directive published in EU Official Journal,EU,Cybersecurity
2022-12-14,DORA Regulation published in EU Official Journal,EU,Financial resilience
2023-01-01,CCPA enforcement begins; CPRA amendments effective,US (California),Data protection
2023-03-15,SEC reopens comment period for proposed rules,US,Securities regulation
2023-07-26,SEC adopts final cybersecurity disclosure rules (Release 33-11216),US,Securities regulation
2023-09-05,SEC rules become effective,US,Securities regulation
2023-12-18,Form 8-K Item 1.05 incident disclosure effective for non-SRCs,US,Securities regulation
2023-12-15,Fiscal years on/after: Reg S-K Item 106 annual disclosure effective,US,Securities regulation
2024-05-21,SEC Director Gerding clarifies Item 1.05 materiality standard,US,Securities regulation
2024-06-15,Form 8-K Item 1.05 effective for smaller reporting companies,US,Securities regulation
2024-06-24,SEC issues 5 new C&DIs on cybersecurity disclosure,US,Securities regulation
2024-10-18,NIS2 transposition deadline by EU member states,EU,Cybersecurity
2024-10-22,SEC charges 4 companies for misleading SolarWinds-related disclosures,US,Securities regulation
2025-01-17,DORA application date for EU financial entities,EU,Financial resilience
2025-06-15,First full year of Form 10-K Item 106 disclosures complete,US,Securities regulation
2025-10-18,NIS2 member state penalty enforcement begins,EU,Cybersecurity
2026-03-01,OECD publishes international coherence in cybersecurity regulations report,Global,Policy
