# AI Investment and Corporate Disclosure Trends
# Sources: Conference Board/ESGAUGE (2025); McKinsey (2025); Stanford AI Index (2025); SSRC (2025)
# Author: Dr Yuqian Zhang, 2026-07-10
# Notes: AI disclosure metrics from S&P 500 10-K filings and earnings call transcripts.
#        "AI risk disclosure" = material AI risk identified in the Risk Factors section of 10-K.
year,metric,value
2023,S&P 500 firms disclosing material AI risk in 10-K (%),12.0
2025,S&P 500 firms disclosing material AI risk in 10-K (%),72.0
2023,AI-related securities class actions (US),7
2024,AI-related securities class actions (US),14
2025,AI-related securities class actions (US, partial year),12
2024,S&P 500 firms citing AI reputational risk (%),35.0
2025,S&P 500 firms citing AI reputational risk (%),38.0
2024,S&P 500 firms citing AI cybersecurity risk (%),20.0
2025,S&P 500 firms citing AI cybersecurity risk (%),20.0
2025,S&P 500 firms citing AI regulatory uncertainty (count),41
2024,Global corporate AI investment (USD billion),252.3
2024,Global AI market size (USD billion),184.0
2025,Global AI agents market (USD billion),7.63
2030,Global AI agents market forecast (USD billion),182.97
2024,PwC global AI investment commitment (USD billion),1.0
2020-2025,KPMG AI investment commitment (USD billion),2.0
