# Global Crypto Regulatory Timeline, 2013-2026
# Author: Dr Yuqian Zhang, 10 July 2026
# Sources: Library of Congress, SEC, ESMA, FATF, FASB, national regulators
# Verify dates against primary sources where available
date,event,jurisdiction,category,description
2013-12-05,PBOC notice on Bitcoin risks,China,Classification,Defined Bitcoin as virtual commodity; barred financial institutions from handling it
2014-02-07,Mt. Gox suspends withdrawals,Global,Exchange failure,Exchange halted withdrawals; filed for bankruptcy on 28 Feb 2014
2015-06-24,BitLicense effective,United States (New York),Licensing,First comprehensive state-level crypto regulatory regime (NYDFS)
2017-04-01,Japan recognises crypto as payment method,Japan,Legal recognition,PSA amended to recognise virtual currency as lawful payment method; FSA exchange registration
2017-09-04,China bans ICOs,China,Ban,Seven agencies jointly banned all ICOs as unauthorised illegal fundraising
2018-06,FATF extends Travel Rule to VAs,Global,AML,FATF extended Recommendation 16 to virtual assets and VASPs (formal adoption June 2019)
2019-06,IFRS IC Agenda Decision on crypto,Global,Accounting,IFRS IC concluded crypto should be accounted as intangible assets (IAS 38) or inventory (IAS 2)
2020-01,5AMLD extends AML to crypto,EU,AML,Fifth Anti-Money Laundering Directive extended obligations to crypto exchange and wallet providers
2021-06-09,El Salvador adopts Bitcoin as legal tender,El Salvador,Legal tender,Legislative Assembly passed Bitcoin Law (effective 7 Sep 2021)
2021-09-24,China blanket ban on crypto,China,Ban,PBOC and nine agencies banned all crypto transactions and mining
2022-10,BNY Mellon launches crypto custody,United States,Institutional,First G-SIB to custody Bitcoin and Ether for institutional clients
2023-04-20,EU Parliament approves MiCA,EU,Regulation,MiCA (Markets in Crypto-Assets Regulation) adopted
2023-06-29,MiCA enters into force,EU,Regulation,Published in Official Journal; entered into force 20 days later
2023-07-26,SEC adopts cybersecurity disclosure rules,United States,Disclosure,Final rules requiring mandatory cybersecurity incident disclosure
2023-12-13,FASB issues ASU 2023-08,United States,Accounting,Fair value measurement for certain crypto assets (effective FY after 15 Dec 2024)
2024-01-10,SEC approves spot Bitcoin ETFs,United States,ETF,Approved 11 spot Bitcoin ETF 19b-4 applications; trading began 11 Jan
2024-05-23,SEC approves spot Ether ETFs,United States,ETF,Approved 8 spot Ether ETF 19b-4 applications (S-1 registrations followed)
2024-06-30,MiCA Title III and IV effective,EU,Regulation,Rules for asset-referenced tokens and e-money tokens came into application
2024-12-30,MiCA full framework effective,EU,Regulation,Title V (CASPs) and EU Transfer of Funds Regulation took effect
2025-01-29,El Salvador rescinds Bitcoin legal tender status,El Salvador,Amendment,Substantially rescinded Bitcoin Law as part of IMF loan deal
2025-06,FATF Best Practices on Travel Rule,Global,AML,73% of jurisdictions had passed Travel Rule legislation
2025-07,US Senate passes GENIUS Act,United States,Stablecoin,Stablecoin regulation bill passed Senate
2026-02-04,UK Cryptoassets Regulations passed,United Kingdom,Regulation,Brought cryptoassets within FCA regulatory remit
2026-04-01,Australia Digital Assets Framework passed,Australia,Regulation,Crypto exchanges and custody providers require AFSL
2026-06-30,UK FCA final crypto rules,United Kingdom,Regulation,Full regime effective 25 October 2027
