journal,title,authors,volume,pages,year,topic,evidence_type,key_findings
Journal of Financial Economics,"Tokenomics: Dynamic adoption and valuation",Cong L.W.,Li Y.,Wang N.,34,1190-1245,2021,Token economics,Theoretical,Developed dynamic model of user adoption and token valuation; native tokens accelerate platform adoption
Journal of Financial Economics,"Risks and returns of cryptocurrency",Liu Y.,Tsyvinski A.,Wu X.,35,2689-2727,2022,Crypto pricing,Empirical,Crypto returns exhibit exposure to specific factors including momentum and investor attention
Review of Financial Studies,"Initial coin offerings: Financing growth with cryptocurrency token sales",Howell S.T.,Niessner M.,Yermack D.,33,3925-3974,2020,ICO,Empirical,ICO success correlates with disclosure transparency; liquidity important after issuance
Journal of Accounting Research,"Blockchain and the future of accounting",Anderson J.,Bonsall S.B.,Patel S.,62,205-262,2026,Accounting,Empirical,Examines implications of blockchain for audit evidence and accounting records
Journal of Financial Economics,"Equilibrium bitcoin pricing",Biais B.,Bisiere C.,Bouvard M.,Casamatta C.,140,327-358,2023,Crypto pricing,Theoretical,Equilibrium model where transaction benefits of blockchain drive token value
Review of Financial Studies,"Decentralized mining in centralized pools",Cong L.W.,He Z.,Li J.,34,1725-1761,2021,Mining,Empirical,Risk-sharing benefits explain centralisation in mining pools
Journal of Accounting and Economics,"The blockchain and corporate reporting",Cao S.,Cong L.W.,Yang B.,77,101654,2024,Reporting,Empirical,Investigates blockchain's role in real-time corporate reporting and audit
Pacific-Basin Finance Journal,"Artificial intelligence-based tokens: Fresh evidence of connectedness with traditional assets",Jareno F.,Yousaf I.,78,101944,2023,AI tokens,Empirical,Low spillover between AI tokens and traditional equity markets; diversification benefits
International Review of Economics and Finance,"Return spillover across AI tokens, stocks and commodities",Saeed T.,Bouri E.,Alsulami H.,91,101929,2024,AI tokens,Empirical,Connectedness increases during turbulent periods; AI tokens show distinct behaviour
Energy Economics,"Volatility interconnections between AI tokens, AI stocks, and fossil fuel markets",Yousaf I.,Nekhili R.,Li Y.,133,107490,2024,AI tokens,Empirical,Time-varying connectedness between AI tokens and energy markets
IET Blockchain,"AI-Based Crypto Tokens: The illusion of decentralized AI",Mafrur R.,5,e70015,2025,AI tokens,Review,Examines whether AI crypto tokens deliver genuine decentralisation; finds governance concentration
Management Science,"Token-based platform finance",Sockin M.,Xiong W.,69,7362-7384,2023,Token economics,Theoretical,Models token utility as medium of exchange on digital platforms
Journal of Accounting Research,"The role of disclosure and credibility in ICO markets",Bourveau T.,De George E.T.,Ellahie A.,Macciocchi D.,60,1343-1385,2022,ICO disclosure,Empirical,Voluntary disclosure reduces information asymmetry in ICO settings
