year,quarter,vc_funding_usd_billion,number_of_deals,notable_deals
2020,Q3,0.15,12,NEAR Protocol raises $12M from a16z
2020,Q4,0.25,18,"Fetch.ai raises $15M; Ocean Protocol launches"
2021,Q1,0.80,35,"Internet Computer launches; Dfinity raises $195M"
2021,Q2,1.20,48,"Bittensor launches; Akash GPU marketplace expands"
2021,Q3,1.50,55,Render Network expands to AI rendering workloads
2021,Q4,2.10,65,SingularityNET partners with Cardano
2022,Q1,1.80,50,AI tokens decline with broader crypto market
2022,Q2,0.90,40,"Terra collapse impacts AI tokens; market-wide drawdown"
2022,Q3,0.50,30,Decreased funding amid crypto winter
2022,Q4,0.35,25,FTX collapse reduces sector confidence
2023,Q1,0.80,35,AI hype after ChatGPT drives renewed interest
2023,Q2,1.10,45,"Bittensor TAO surges; Akash tests first AI Supercloud"
2023,Q3,1.50,55,Nosana pivots to AI compute; Akash GPU growth
2023,Q4,2.00,65,Fetch.ai and Bosch form industrial AI foundation
2024,Q1,3.00,80,"TAO hits $760 ATH; Render expands to Solana"
2024,Q2,2.50,75,Fetch.ai-SingularityNET-Ocean Protocol ASI merger announced
2024,Q3,2.80,85,io.net raises $30M for GPU network expansion
2024,Q4,3.50,95,AI agent token category emerges with Virtuals and ai16z
2025,Q1,4.20,105,AI agent token mania; Virtuals launches 40000+ agents
2025,Q2,4.90,120,VC investment in AI-crypto peaks; Grayscale launches AI Fund
