# AI Productivity Effects: Firm-Level Evidence
# Source: OECD (2025); Calvino et al. (2024); Filippucci et al. (2024); McKinsey (2025)
# Author: Dr Yuqian Zhang, 2026-07-10
# Notes: Productivity premium = productivity difference between AI adopters and non-adopters.
#        J-curve: productivity may decline temporarily before improving.
study,metric,estimate,pct_range_low,pct_range_high,notes
OECD AI-WIPS (2025),Labour productivity growth (annual, G7),0.2-1.3 pp,,,Over next decade; macroeconomic estimate
Calvino et al. (2024),Firm productivity premium,4.0,,,AI users vs non-users; OECD firm-level
Calvino et al. (2024),Firm productivity premium (upper bound),15.0,,,Some studies find gains exceeding 15%
McKinsey (2025),EBIT contribution (high performers),10.0,,,46 GenAI high performers among 876 firms
McKinsey (2025),ROI per dollar invested (high performers),10.3,,,Nearly 3x the average
McKinsey (2025),Revenue increase (AI adopters),,5.0,10.0,Top-line growth from AI deployment
Deloitte (2025),ROI meeting expectations (leaders),74.0,,,Share of leaders whose advanced AI initiatives meet/exceed ROI
Deloitte (2025),ROI exceeding 30%,20.0,,,Share of leaders with returns above 30%
EY AI Pulse Survey (2024),Operational efficiency gains,77.0,,,Share reporting positive returns
EY AI Pulse Survey (2024),Employee productivity gains,74.0,,,Share reporting positive returns
PwC CEO Survey (2026),Zero measurable ROI from AI,56.0,,,Share of CEOs reporting no measurable AI ROI
Brynjolfsson et al. (2023),Productivity (AI-assisted agents),14.0,,,Call centre study; novice workers benefit most
