# Cross-Jurisdiction Comparison of Major Cybersecurity Disclosure Frameworks
# Author: Dr Yuqian Zhang, 2026-07-10
# Sources: SEC Release 33-11216; EU NIS2 Directive 2022/2555; EU DORA Regulation 2022/2554; EU GDPR Regulation 2016/679
dimension,sec_us,nis2_eu,dora_eu,gdpr_eu
Primary focus,Disclosure to investors,Operational cybersecurity resilience,ICT resilience for financial sector,Personal data protection
Scope,All US public companies,"Essential and important entities (18 sectors, 50+ employees or EUR 10M turnover)",21 categories of EU financial entities,All organisations processing personal data of EU residents
Incident notification trigger,Materiality determination,"Awareness of significant incident","Classification as major incident",Personal data breach
Incident notification timeline,4 business days from materiality determination,"24-hour early warning; 72-hour notification; 1-month final",4-hour initial; 72-hour intermediate; 1-month final,72 hours after becoming aware
Annual disclosure requirement,Yes (Form 10-K Item 106),No explicit requirement,No explicit requirement,No (but DPIAs required for high-risk processing)
Board oversight disclosure,Required (Item 106(c)(1)),Management body must approve measures; personal liability possible,Management body must approve ICT risk framework,No specific board disclosure requirement (but accountability principle applies)
Penalties,Variable (SEC enforcement authority),"Up to EUR 10M or 2% of global turnover","Up to EUR 10M or 2% of global turnover; up to EUR 1M for management body","Up to EUR 20M or 4% of global turnover"
Third-party risk disclosure,Required (Item 106(b)),Required (supply chain security),Required (oversight framework for all ICT third-party providers; ESA oversight of critical providers),Required (data processing agreements)
Adoption year,2023,2022,2022,2016
Effective date,Dec 2023 (incidents); fiscal years ending Dec 2023+,Oct 2024 transposition deadline; enforcement from Oct 2025,17 Jan 2025,25 May 2018
National security delay,Yes (Attorney General determination possible),"Limited (member state discretion for public security)",No explicit provision,No explicit provision
