token,ticker,category,launch_date,market_cap_usd_billion_q2_2026,ath_price_usd,ath_date,use_case,blockchain
Bittensor,TAO,Decentralised ML Protocol,2021-11,3.2,760.18,2024-04-11,Decentralised machine learning marketplace,Subtensor
NEAR Protocol,NEAR,AI Infrastructure,2020-10,4.5,20.42,2024-03-07,Layer-1 blockchain for AI applications,NEAR
Render,RNDR,GPU Compute,2017-10,1.8,13.53,2024-03-17,Decentralised GPU rendering and AI compute,Ethereum/Solana
Fetch.ai (ASI),FET,AI Agents,2019-03,0.73,3.47,2024-03-28,Autonomous AI agent economy,Ethereum/Cosmos
Akash Network,AKT,Decentralised Cloud,2020-09,0.16,8.07,2021-10-04,Decentralised cloud compute marketplace,Cosmos
The Graph,GRT,Data Indexing,2020-12,1.2,2.84,2021-02-12,Blockchain data indexing for AI,Ethereum
Filecoin,FIL,Storage,2017-09,1.5,236.84,2021-04-01,Decentralised storage for AI data,Filecoin
SingularityNET,AGIX,AI Services,2017-12,0.4,1.86,2018-01-28,Decentralised AI service marketplace,Ethereum/Cardano
Ocean Protocol,OCEAN,Data Exchange,2019-03,0.3,1.93,2021-04-10,Decentralised data exchange for AI,Ethereum
Internet Computer,ICP,AI Infrastructure,2021-05,3.8,700.65,2021-05-10,Decentralised cloud compute,Internet Computer
io.net,IO,GPU Network,2023-11,0.5,6.45,2024-06-12,Decentralised GPU compute network,Solana
Nosana,NOS,GPU Compute,2022-01,0.05,9.10,2024-03-01,Decentralised GPU compute for AI,Solana
